,Canonical_smiles,Murcko,ClassE,No
622,CN1CCN(CCCN([C@@H]2CC[C@@]3(C[C@H]23)c4ccc(cc4)C#N)C(=O)Nc5ccc(F)c(c5)C(F)(F)F)CC1,O=C(Nc1ccccc1)N(CCCN1CCNCC1)C1CCC2(c3ccccc3)CC12,1,2828
5231,CS(=O)(=O)NCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,O=C(NCc1ccccc1)C1CCN(c2ncnc3[nH]ccc23)CC1,0,6507
6462,COc1ccc2nc(OC)cc(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,7199
1640,Cc1ccc(CN2CCC(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)cc1,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,7417
669,Oc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,1,6108
448,CSc1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1,C1=Cc2ccccc2C1=Cc1ccccc1,0,7651
4130,FC(F)(F)c1cccc(NC(=O)NS(=O)(=O)c2ccc(OCCCN3CCCC3)cc2)c1,O=C(Nc1ccccc1)NS(=O)(=O)c1ccc(OCCCN2CCCC2)cc1,0,857
2834,CN(CCCN1CCN(CC1)c2cccc(Cl)c2Cl)C(=O)c3cc(c4ccccc4)n(C)c3C,O=C(NCCCN1CCN(c2ccccc2)CC1)c1c[nH]c(-c2ccccc2)c1,1,2898
6449,CCOc1cc(C)c2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,2641
7169,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(cc4)C(F)(F)F)nnc1N5CCOCC5,c1ccc(N2CCC3CN(CCCSc4nnc(N5CCOCC5)[nH]4)CC32)cc1,1,789
62,Clc1cccc(Cl)c1NC2=NCCN2,c1ccc(NC2=NCCN2)cc1,0,6910
50,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,O=c1cccc2c(c1)CCCc1ccccc1-2,0,2021
2806,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(=O)C)C#C)[C@@H]3CCC2=C1,C1=C2CCC3C4CCCC4CCC3C2CCC1,0,456
5595,COC(=O)c1ccccc1c2ccc(CN3CCC(COC(=O)c4c5OCCCn5c6ccccc46)CC3)cc2.CS(=O)(=O)O,O=C(OCC1CCN(Cc2ccc(-c3ccccc3)cc2)CC1)c1c2n(c3ccccc13)CCCO2,1,6040
5447,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C[C@@H]3C(=O)O)C4CC(C4)c5c(F)cccc5F)c2c1,c1ccc(C2CC(N3CCC(CCCc4ccnc5ccccc45)CC3)C2)cc1,0,289
2826,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,C1=C2c3cccc4[nH]cc(c34)CC2NCC1,0,5325
5395,OC1(CCN(CC1)c2ccc3nnc(n3n2)C(F)(F)F)c4cccnc4,c1cncc(C2CCN(c3ccc4nncn4n3)CC2)c1,0,2220
7916,COc1cccc(\C=C\C(=O)c2cc(OC)c(OC)cc2O)c1,O=C(C=Cc1ccccc1)c1ccccc1,0,7408
2032,CC1=C(Oc2ccccc2S1(=O)=O)c3ccc(OCCCN4CCCC4)cc3,O=S1(=O)C=C(c2ccc(OCCCN3CCCC3)cc2)Oc2ccccc21,1,7910
3598,CC(O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccccc54)CC3)nc2N1,0,8137
2854,CN(c1ccc(cc1)[C@]23CNC[C@H]2C3)S(=O)(=O)c4ccccc4,O=S(=O)(Nc1ccc(C23CNCC2C3)cc1)c1ccccc1,0,2805
3112,CN(C)CCC=C1c2ccccc2COc3ccccc13,C=C1c2ccccc2COc2ccccc21,0,1467
8059,Clc1cnc(nc1)N2CCC(CC2)[C@H]3C[C@H]3CCOc4ccc(CC(=O)NC5CC5)cc4,O=C(Cc1ccc(OCCC2CC2C2CCN(c3ncccn3)CC2)cc1)NC1CC1,0,1852
7330,Fc1ccc2N=CC(=O)N3C[C@@H](CN4CCC(CC4)NCc5cc6OCCOc6nn5)c1c23,O=c1cnc2cccc3c2n1CC3CN1CCC(NCc2cc3c(nn2)OCCO3)CC1,0,8035
4680,O[C@@]12CC3CC(C1)[C@H](NC(=O)c4cnc(nc4C5CC5)N6CCOCC6)C(C3)C2,O=C(NC1C2CC3CC(C2)CC1C3)c1cnc(N2CCOCC2)nc1C1CC1,0,3442
7361,Fc1ccc(cc1Cl)N2N=C(OCCCN3CCCCC3)C=CC2=O,O=c1ccc(OCCCN2CCCCC2)nn1-c1ccccc1,1,8301
1098,CC(C)(C)N1CCC(CC1)(c2ccccc2)c3ccccc3,c1ccc(C2(c3ccccc3)CCNCC2)cc1,1,3412
6091,COc1cnc2C=CC(=O)N(CCN3CC[C@@H](NCc4cnc(C)c(c4)C#N)[C@@H](F)C3)c2c1,O=c1ccc2ncccc2n1CCN1CCC(NCc2cccnc2)CC1,0,3739
1862,CCN(CC)C(=O)c1cccc(c1)C2=CC3(CCNCC3)Oc4ccccc24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1,8098
1397,CC(C)NC(=O)C1=CN(c2ccccc2)c3ncccc3C1=O,O=c1ccn(-c2ccccc2)c2ncccc12,0,4346
1619,O[C@H]1CN(C[C@H]2C[C@H](O)c3ncccc3C2)CC[C@@H]1c4ccc(F)cc4Cl,c1ccc(C2CCN(CC3CCc4ncccc4C3)CC2)cc1,0,6695
3257,COc1ccc(cc1)[C@H]2CN(CCC3CCS(=O)(=O)CC3)C[C@@H]2CC(=O)Nc4cccc(Cl)c4,O=C(CC1CN(CCC2CCS(=O)(=O)CC2)CC1c1ccccc1)Nc1ccccc1,1,3622
209,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1,1,6631
