,Canonical_smiles,Murcko,ClassA,No
686,CC(=O)Nc1ccc(CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)cc1,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,1,7960
4141,Fc1ccccc1C(=O)Nc2ccc(cc2)c3oc(NCCCN4CCCCC4)nn3,O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)cc1)c1ccccc1,0,7123
4602,Clc1cc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)ccc1C#N,O=C1OCc2cc(CCN3CCN(CCc4ccccc4)CC3)ccc21,1,1055
6756,COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)C4CCc5ccccc5N(Cc6ccncc6)C4=O,O=C1C(n2cc(-c3ccc(-n4ccnc4)cc3)nn2)CCc2ccccc2N1Cc1ccncc1,0,3654
537,COc1ccc(cc1OC)C2CCN(CCC3CCOc4ccccc34)CC2,c1ccc(C2CCN(CCC3CCOc4ccccc43)CC2)cc1,1,992
8109,Cl.Cl.CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)C3CCCCC3)CC2)c4ncccc4c1,O=S(=O)(NCCCCN1CCC(Oc2cccc3cccnc23)CC1)C1CCCCC1,1,2741
3455,ONC(=O)\C=C\c1ccc2CN(Cc2c1)S(=O)(=O)c3ccc(cc3)C(F)(F)F,O=S(=O)(c1ccccc1)N1Cc2ccccc2C1,0,3985
4576,CCCCN1CCC[C@@H]1CN2N=C(Cc3ccc(Cl)cc3)c4cnccc4C2=O,O=c1c2ccncc2c(Cc2ccccc2)nn1CC1CCCN1,1,1388
2431,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(Cl)c5)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,2961
7201,Cn1c(SCCCN2CC3CCN(C3C2)c4ccccc4C#N)nnc1c5cnccn5,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1,1,3563
6674,COC(=O)[C@H]1C[C@@H]1COc2ccc3ncc(F)c(CCC45CCC(CC4)(CO5)NCc6ccc7OCC(=O)Nc7n6)c3n2,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(OCC7CC7)nc56)(CC3)OC4)nc2N1,1,6449
1223,Cc1ncoc1c2nnc(SCCCN3CCc4ccc5oc(nc5c4CC3)C(F)(F)C(F)(F)F)n2C,c1ncc(-c2nnc(SCCCN3CCc4ccc5ocnc5c4CC3)[nH]2)o1,1,3496
2322,COc1cc(ccn1)c2cnc3nc(sc3c2)N4CCC(CC4)N5CCCCC5,c1cc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)ccn1,1,6981
6578,CCn1cc(cn1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)C7=NN(CCN(C)C)C(=O)O7,O=c1[nH]nc(C2(c3cn[nH]c3)NC(c3nc(-c4ccccn4)c[nH]3)Cc3c2[nH]c2ccccc32)o1,0,3760
4683,CCN(CC)CCOc1cc(c(Cl)cc1Cl)c2nc(SCC(=O)NC)nc3[nH]cc(C#N)c23,c1ccc(-c2ncnc3[nH]ccc23)cc1,0,7705
4856,CNc1nn2cc3CN(C)CCc3nc2c1S(=O)(=O)c4ccccc4,O=S(=O)(c1ccccc1)c1cnn2cc3c(nc12)CCNC3,1,7051
2141,Clc1cccc(c1)N2CCN(CCN3CCC(CC3)c4oc(nn4)c5ccccc5)C2=O,O=C1N(CCN2CCC(c3nnc(-c4ccccc4)o3)CC2)CCN1c1ccccc1,1,6078
6447,COc1nc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c(F)cnc2cc1F,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,2047
8064,Fc1ccc(OCCCNC(=N)Nc2ccc(Cl)cc2)cc1,N=C(NCCCOc1ccccc1)Nc1ccccc1,1,6909
7999,Cn1cc(cn1)c2ccc(Nc3nn(cc3C(=O)N)[C@H]4COCC[C@@H]4C#N)cc2,c1cc(-c2cn[nH]c2)ccc1Nc1ccn(C2CCCOC2)n1,0,7073
